,VWAP,TWALiquidityAroundBBO|Ask10bpsNotional,TradeNotional|Non,EBBOOrderPercentage|Filled,EBBOTradeVolume,FillProbability|Bid1,FillProbability|Ask1,FillProbability|Ask2,TradeNotional|Dark,ExecutedVolume|Ask,Date,FillProbability|Bid3,FillProbability|Bid2,TimeAtEBBO|Duration,FillProbability|Ask3
0,1619.843737561364,91879.82383721904,339651.5235531582,31.37849679811257,13895,14.12447450191921,15.190052282040412,2.533378979801438,500620.23408405756,6252,2021-12-13,0.36084799278304014,1.6249153689911984,24842.246122395,2.0930232558139537
1,1610.3758437346808,124023.02532160532,646478.3739642806,26.5625,25448,8.25153678366052,19.721004149621827,5.2296387017758725,508061.27862764173,13543,2021-12-14,1.02890739833415,2.708274763377378,23528.747000176,1.5968063872255487
2,1622.9459529048265,141529.76186626244,83494.06100410598,28.101424979044427,20622,9.303416923302537,16.54832751898215,4.246122552758709,337158.5863967324,9676,2021-12-15,1.069078947368421,0.49226441631504925,27008.892777171,5.124450951683748
3,1633.1742350699312,166214.00043481617,298824.3153052634,27.727784026996627,27316,9.242734343020876,14.23211432012414,6.281044704374299,651871.030345801,14283,2021-12-16,0.829531314807134,0.2630634939614971,27646.438752638,0.0
4,1631.1166886833994,141666.02863813713,563430.7560098198,24.08231368186874,18997,13.32365081791775,12.659726983731224,2.0698344132469404,189504.85436893202,15405,2021-12-17,0.09129640900791236,4.565739787161002,25726.249253069,0.0
5,1603.316176759926,123103.53474622374,19951.637898657937,21.588541666666668,24679,5.559579337717646,11.564961686234948,1.9879719345138658,4165552.2043821523,21208,2021-12-20,0.5462909718228868,2.0466275137924894,26374.719198680003,0.7597895967270601
6,1629.6987388562732,130694.68553336678,105338.39667305346,25.730994152046783,8733,9.445194063020875,9.052414740215152,1.5785975407111998,269828.68525896413,4590,2021-12-21,1.4329805996472662,0.6048387096774194,24621.461770556,0.0
7,1661.197327532629,144364.35746590703,225787.85749530277,19.296187683284458,11015,3.610390335091097,12.79339556466843,1.388295600170867,0.0,6802,2021-12-22,0.0,0.33159639981051636,27127.357814406005,0.0
8,1684.4761982713462,157509.51762829034,58240.50588877807,15.39528432732316,14227,6.816669927607122,5.172568892620468,0.48931238732938453,325567.6392572945,11986,2021-12-23,0.0,1.2626262626262625,25989.847768659005,0.8820286659316428
9,1694.673285198556,118529.82904386037,2999.9116373597244,17.251461988304094,1037,6.3042220936957785,4.127358490566038,0.0,0.0,1074,2021-12-24,0.0,0.0,13372.382445672,0.0
10,1658.8062336229486,178553.52114891296,242292.41612021273,30.484330484330485,20434,10.48581394512568,15.913152251608292,5.713271823988644,1276987.9677961601,11925,2021-12-29,0.9546539379474941,3.44400396432111,26221.939717267,6.787878787878789
11,1644.7589587819132,108659.60910219417,247765.30889429883,17.686453576864537,12686,5.0679407865665045,9.999467546988978,2.181380968739265,171158.90241750487,5845,2021-12-30,0.0,1.7398964871710165,26556.071618936003,0.0
12,1648.1947285601889,115956.0177122635,1453.2834293330793,15.073529411764705,1271,13.26829268292683,2.8864059590316575,0.0,0.0,597,2021-12-31,0.0,2.58732212160414,14814.817633177001,0.0
13,1646.3571548468317,240478.94901615178,347022.939302628,23.766204230156927,22863,14.09362549800797,9.030309936189608,1.841642228739003,750930.0469899814,12322,2022-01-04,0.3840614498319731,3.3617859487852924,26784.983719640004,0.0
14,1605.2169792274217,149116.1570858985,295228.07700894156,43.21363359707851,42236,35.04979657040162,19.1173267111053,3.5996670828131503,28963546.249668702,20452,2022-01-05,3.951029493600445,4.82194817791326,25139.852120050004,0.0
15,1582.9618057167618,454366.09152797237,309476.99583761167,51.15618661257606,62728,45.539174972314505,27.22778968506826,3.1541738421100334,38780945.64737075,27534,2022-01-06,6.190798376184032,9.643968199101279,27838.001851448,0.0
16,1618.578362926722,181011.16092665348,164700.427947044,24.90916431166734,17000,16.781852636272436,6.913428074245939,4.736024844720497,554517.6137369446,10914,2022-01-07,0.9328358208955223,2.0098730606488013,24116.067601130002,1.6776512881965249
17,1612.1196195005946,182377.0258014513,51422.010764792314,29.595336076817556,20482,17.7630141177499,14.112213479302088,1.91131498470948,1093437.8865523944,10166,2022-01-10,1.0954616588419406,5.275727312201477,24555.738510244002,0.12562814070351758
18,1640.976797610843,162417.030267532,2957530.8384531266,48.32869080779944,49859,22.934013788163668,40.84665869776043,3.5566706021251475,49513248.50035286,28480,2022-01-11,1.2872379551305628,5.4684462874173905,25299.284160182004,1.0531135531135531
19,1648.4355433311252,158736.53235649932,259765.38530760483,38.91677675033025,32748,25.29436679373147,22.184707050645482,3.041825095057034,7385906.772207564,17055,2022-01-12,1.5299877600979193,8.275742916378714,23303.435414605003,3.2023289665211063
20,1641.7619701604344,179977.34351667066,67264.80552262993,29.110512129380055,15596,17.50959883490004,11.983817652572895,1.8940302085830738,1334965.9774928028,7957,2022-01-13,3.033131124591694,1.90018315018315,26673.870063472,0.42347247428917123
21,1622.8488463349552,312209.7082524595,93672.05877782516,23.69402985074627,12201,12.562706034112084,7.616443706669271,1.9032332033937172,18472.08875687953,6791,2022-01-14,6.132542037586548,1.8115942028985508,25083.978553868,0.8911819887429643
